asterism,member_count,hull_member_count,hull_members,geometry_method,centroid_ra_h,centroid_dec_deg,area_sr,area_sq_deg,best_instant_utc,best_date,iso
Big Dipper,7,5,Beta Ursae Majoris; Gamma Ursae Majoris; Eta Ursae Majoris; Zeta Ursae Majoris; Alpha Ursae Majoris,spherical-convex-hull-area-centroid,12.31127249,56.64517044,0.036641185786,120.285917,2026-05-12 19:23,2026-05-13,2026-W20-3
Little Dipper,7,6,Polaris; Beta Ursae Minoris; Gamma Ursae Minoris; Eta Ursae Minoris; Epsilon Ursae Minoris; Delta Ursae Minoris,spherical-convex-hull-area-centroid,15.62421287,79.96985786,0.018386435956,60.359109,2026-06-30 08:48,2026-06-30,2026-W27-2
Cassiopeia's W,5,4,Beta Cassiopeiae; Alpha Cassiopeiae; Delta Cassiopeiae; Epsilon Cassiopeiae,spherical-convex-hull-area-centroid,0.93663705,60.27213262,0.010496626589,34.458392,2026-11-23 11:26,2026-11-23,2026-W48-1
Orion's Belt,3,3,Mintaka; Alnilam; Alnitak,spherical-convex-hull-area-centroid,5.60542514,-1.14800025,0.000037456554,0.122963,2026-01-26 15:33,2026-01-27,2026-W05-2
Orion's Sword,3,3,Theta Orionis; Iota Orionis; 42 Orionis,spherical-convex-hull-area-centroid,5.58940877,-5.37931310,0.000005516962,0.018111,2026-01-26 10:00,2026-01-26,2026-W05-1
Water Jar,4,3,Gamma Aquarii; Eta Aquarii; Pi Aquarii,spherical-convex-hull-area-centroid,22.45717389,-0.04257231,0.001267559424,4.161152,2026-10-16 23:29,2026-10-17,2026-W42-6
Great Square of Pegasus,4,4,Markab; Algenib; Alpheratz; Scheat,spherical-convex-hull-area-centroid,23.63356449,21.93132736,0.063174600602,207.389980,2026-11-04 08:39,2026-11-04,2026-W45-3
Sickle of Leo,6,4,Epsilon Leonis; Alpha Leonis; Gamma Leonis; Mu Leonis,spherical-convex-hull-area-centroid,10.11412408,20.07852438,0.017482335714,57.391123,2026-04-07 22:34,2026-04-08,2026-W15-3
Keystone of Hercules,4,4,Zeta Herculis; Epsilon Herculis; Pi Herculis; Eta Herculis,spherical-convex-hull-area-centroid,16.91601313,34.89008074,0.011282947692,37.039732,2026-07-19 08:29,2026-07-19,2026-W29-7
Northern Cross,5,4,Beta Cygni; Epsilon Cygni; Alpha Cygni; Delta Cygni,spherical-convex-hull-area-centroid,20.13209060,37.76123906,0.055236060522,181.329290,2026-09-08 11:51,2026-09-08,2026-W37-2
Teapot of Sagittarius,8,6,Gamma Sagittarii; Epsilon Sagittarii; Zeta Sagittarii; Tau Sagittarii; Sigma Sagittarii; Lambda Sagittarii,spherical-convex-hull-area-centroid,18.59680598,-29.51830996,0.021032972985,69.047177,2026-08-14 08:12,2026-08-14,2026-W33-5
Scorpius's Fishhook,13,8,Gamma Scorpii; Zeta Scorpii; Nu Scorpii; Iota Scorpii; Kappa Scorpii; Lambda Scorpii; Alpha Scorpii; Delta Scorpii,spherical-convex-hull-area-centroid,16.42499764,-33.35752516,0.093876062398,308.176934,2026-07-12 01:28,2026-07-12,2026-W28-7
Circlet of Pisces,7,7,Gamma Piscium; Kappa Piscium; Lambda Piscium; TX Piscium; Iota Piscium; Theta Piscium; 7 Piscium,spherical-convex-hull-area-centroid,23.52563543,3.74411864,0.007852105252,25.776941,2026-11-02 17:16,2026-11-03,2026-W45-2
Head of Cetus,5,5,Xi Ceti; Gamma Ceti; Alpha Ceti; Lambda Ceti; Mu Ceti,spherical-convex-hull-area-centroid,2.78766380,6.76066559,0.011712313025,38.449256,2026-12-18 23:55,2026-12-19,2026-W51-6
Hyades / V of Taurus,5,5,Gamma Tauri; Theta Tauri; Aldebaran; Epsilon Tauri; Delta Tauri,spherical-convex-hull-area-centroid,4.46151396,17.06831166,0.002157216366,7.081724,2026-01-10 12:20,2026-01-11,2026-W02-7
Pleiades,7,5,Electra; Merope; Atlas; Pleione; Taygeta,spherical-convex-hull-area-centroid,3.77840997,24.16998876,0.000086868449,0.285172,2026-01-01 03:55,2026-01-01,2026-W01-4
Summer Triangle,3,3,Vega; Altair; Deneb,spherical-convex-hull-area-centroid,19.70399953,31.51605834,0.127348954140,418.061955,2026-09-01 09:05,2026-09-01,2026-W36-2
Winter Triangle,3,3,Betelgeuse; Sirius; Procyon,spherical-convex-hull-area-centroid,6.77633067,-1.34189429,0.093234250149,306.069988,2026-02-13 01:20,2026-02-13,2026-W07-5
Winter Hexagon / Winter Circle,6,6,Aldebaran; Rigel; Sirius; Procyon; Pollux; Capella,spherical-convex-hull-area-centroid,6.19752301,14.35492646,0.590359036456,1938.034394,2026-02-04 07:47,2026-02-04,2026-W06-3
Spring Triangle,3,3,Denebola; Spica; Arcturus,spherical-convex-hull-area-centroid,13.16054640,7.89631944,0.162860638099,534.639937,2026-05-25 13:54,2026-05-26,2026-W22-2
Great Diamond,4,4,Beta Leonis; Alpha Virginis; Alpha Bootis; Alpha Canum Venaticorum,spherical-convex-hull-area-centroid,13.09630033,14.77610795,0.275510201353,904.446638,2026-05-24 15:00,2026-05-25,2026-W22-1
False Cross,4,4,Avior; Aspidiske; Markeb; Alsephina,spherical-convex-hull-area-centroid,8.93528135,-57.34741928,0.008660436597,28.430536,2026-03-19 13:05,2026-03-20,2026-W12-5
Southern Cross,4,4,Delta Crucis; Alpha Crucis; Beta Crucis; Gamma Crucis,spherical-convex-hull-area-centroid,12.50515550,-59.84748009,0.003875107662,12.721228,2026-05-15 18:09,2026-05-16,2026-W20-6
Southern Pointers,2,2,Alpha Centauri; Beta Centauri,great-circle-midpoint,14.35979960,-60.67819885,0.000000000000,0.000000,2026-06-12 02:36,2026-06-12,2026-W24-5
Coathanger,10,5,HD 182293; HD 182620; 4 Vulpeculae; HD 182955; 7 Vulpeculae,spherical-convex-hull-area-centroid,19.43392789,20.11340024,0.000111421340,0.365775,2026-08-27 22:08,2026-08-28,2026-W35-5
